document_index,document_text,generated_keyphrases
0,How do I locate my card?,"locate credit or debit card, find lost card, card retrieval methods, card location assistance, identifying card location, card security and recovery, help with card location"
1,"I still have not received my new card, I ordered over a week ago.","card delivery delay, order status inquiry, missing new card, shipping delay, customer service contact, order processing time, card issuance"
2,I ordered a card but it has not arrived. Help please!,"order status, delayed delivery, customer support, missing card, shipping issue, assistance request, order tracking"
3,Is there a way to know when my card will arrive?,"card delivery status, expected card arrival date, shipping and delivery timeline, card issuance process, tracking card shipment, delivery confirmation, payment card issuance"
4,My card has not arrived yet.,"delayed card delivery, missing card, card not received, shipping issue, delivery status, customer service inquiry, postal delay"
5,When will I get my card?,"card delivery timeline, issuance of card, card arrival status, expected card receipt date, card processing time, card issuance inquiry, delivery of financial card"
6,Do you know if there is a tracking number for the new card you sent me?,"tracking number inquiry, new card shipment, package tracking, delivery status, shipping information, card dispatch confirmation, postal tracking"
7,i have not received my card,"missing card, card not received, delivery issue, card delivery problem, customer service inquiry, missing payment card, card issuance delay"
8,still waiting on that card,"waiting for card, pending card delivery, card issuance process, card request status, card arrival delay, customer service inquiry, payment card issuance"
9,Is it normal to have to wait over a week for my new card?,"credit card delivery delay, waiting time for new card, card issuance process, shipping duration for financial cards, customer service inquiry about card arrival, normal wait period for card issuance, delays in card delivery"
10,How do I track my card?,"credit card tracking, financial account monitoring, transaction history, card activity alerts, security and fraud prevention, banking app features, personal finance management"
11,How long does a card delivery take?,"card delivery time, delivery duration, shipping process, mailing period, delivery timeframe, postal service duration, shipping and delivery"
12,I still don't have my card after 2 weeks.  What should I do?,"missing card, card delivery delay, customer support, card replacement process, delayed card issuance, assistance for lost card, card issuance timeline"
13,still waiting on my new card,"waiting for new card, card issuance delay, pending card delivery, credit/debit card arrival, card request status, bank card processing, card replacement process"
14,I am still waiting for my card after 1 week.  Is this ok?,"waiting for card, delivery delay, card issuance, customer inquiry, service delay, waiting period, card delivery status"
15,"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","bank card delivery delay, expected arrival date, card shipment status, banking services inquiry, customer service request, delivery timeline for bank card, payment card dispatch"
16,I've been waiting longer than expected for my card.,"credit card delay, waiting for card, card delivery issue, payment card issuance, customer service delay, card arrival problem, transaction processing delay"
17,Why hasn't my card been delivered?,"delivery status inquiry, missing card, shipment tracking, delivery delay, card delivery issue, package not received, shipping problem"
18,Where is my new card? I have been waiting a week!,"card delivery delay, waiting for new card, card shipment status, customer service inquiry, delivery timeframe, issuance of new card, delayed card arrival"
19,My card still hasn't arrived after 2 weeks. Is it lost?,"delayed card delivery, lost card concern, shipping delay, card arrival issue, customer service inquiry, delivery time frame, postal service problem"
20,"I did not get my card yet, is it lost?","card delivery delay, lost card concern, credit/debit card issue, card not received, potential card loss, customer service inquiry, financial card status"
21,Status of the card I ordered.,"order status, credit card delivery, card shipment tracking, payment card status, order fulfillment update, card dispatch information, status inquiry"
22,How long should my new card take to arrive?,"card delivery time, new card arrival, shipping duration, card issuance process, expected delivery timeframe, postal service timeline, card processing and shipping"
23,I ordered my card 2 weeks ago and it still isn't here? What do I do?,"order status inquiry, delayed delivery, customer service support, shipping delay, order tracking, payment and order processing, customer concern about delivery"
24,"My card has not arrived yet, where is it?","Card delivery status, Missing card inquiry, Delivery delay, Customer service contact, Order tracking, Shipping issue, Unreceived card"
25,What is the tracking number for my card that was mailed?,"tracking number, mailed card, shipment tracking, delivery status, order identification, package tracking, card dispatch"
26,I think something went wrong with my card delivery as I haven't received it yet.,"card delivery issue, missing delivery, delivery problem, order not received, shipping delay, payment card delivery, customer service concern"
27,"I'm still waiting for delivery of my new card, why is it taking so long?","credit card delivery delay, waiting for new card, card shipment status, delivery time concern, card issuance process, customer service inquiry, postal or courier delay"
28,"I ordered a card a week ago, and it's still not here. What do I do?","order delay, missing delivery, customer support, shipping issue, order status inquiry, delivery problem, unreceived card"
29,i want to track the card you sent,"tracking sent card, card delivery status, send card tracking, parcel tracking, shipment monitoring, delivery confirmation, postal service tracking"
30,My card hasn't arrived yet.,"delayed card delivery, missing card, card not received, shipping issue, delivery status, postal delay, customer service inquiry"
31,I was expecting my new card and am wondering why I haven't received it yet?,"new card delivery delay, expectation of card receipt, question about card shipment, customer service inquiry, shipping status of new card, delayed card arrival, card issuance process"
32,How do I know when my card will arrive?,"card delivery status, expected arrival date, shipping and delivery timeline, card shipment tracking, when will my card arrive, delivery confirmation process, card arrival inquiry"
33,I'm still waiting on my card to be delivered.,"waiting for card delivery, delivery status, card shipment, postal delivery delay, customer service inquiry, shipping process, payment card issuance"
34,Does the card you sent have a way to track to it?,"card tracking, tracking method, sent card, card identification, delivery confirmation, card security, recipient verification"
35,I ordered a card and I still haven't received it. It's been two weeks. What can I do?,"order delay, undelivered card, shipping issue, customer service inquiry, delivery status, order tracking, refund or replacement"
36,"I'm starting to think my card is lost because it still hasn't arrived, can you help?","lost card, card not received, delivery delay, assistance request, card tracking, customer support, payment card issue"
37,Is there tracking info available?,"tracking information availability, shipment tracking status, order tracking details, package tracking inquiry, delivery status update, shipping information request, parcel tracking"
38,What is the tracking number for the card you sent?,"tracking number, card shipment, package tracking, delivery status, order tracking, shipping information, parcel identification"
39,Where is the tracking number for the card you sent me?,"tracking number inquiry, card shipment tracking, package delivery status, order tracking information, shipping details request, parcel tracking number, delivery confirmation"
40,Why won't my card show up on the app?,"Card visibility issue, Mobile app card display problem, Payment card not appearing in app, Troubleshooting card connection, App card synchronization problem, User account card visibility, Mobile banking app card issue"
