document_index,document_text,generated_keyphrases
0,"@user Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.","disillusionment with political figures, criticism of celebrity activism, perception of lost heroes, disappointment in political leadership, skepticism towards public figures, cynicism about political icons, frustration with celebrity involvement in politics, disillusionment with revolutionary leaders, disapproval of political endorsements by celebrities, concern over the decline of revered figures"
1,@user @user @user @user @user @user take away illegals and dead people and Trump wins popular vote too.,"political opinion, anti-immigration sentiment, disapproval of illegal immigration, criticism of election results, support for Donald Trump, populist sentiment, controversial political statement, expressing electoral dissatisfaction, nationalist tone, provocative political commentary"
2,OPINION: The Anti-#Trump #Riots Are a #SmokeScreen:,"opinion, criticism of anti-Trump riots, disapproval of protests, perception of riots as a distraction, skepticism about protest motives, political commentary, controversial opinion, social unrest analysis, disapproval of civil unrest, perception of protests as a smokescreen"
3,ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,"conspiracy theories, government secrecy, intelligence agencies, terrorism awareness, false flag operations, Middle Eastern politics, regional conflicts, counterterrorism, international espionage, public skepticism"
4,"Christians In Palestine: Yes, They Exist #gaza #palestine #israel #BDS","religious identity, Christian presence in Palestine, Palestinian religious diversity, Christian community in Gaza, interfaith coexistence, religious minorities in Palestine, Christianity in the Middle East, Palestinian cultural identity, religious tolerance, faith and politics in Palestine"
5,Listen to win passes to see #FantasticBeasts after 2pm w/ @user,"excitement, invitation, anticipation, entertainment, movie promotion, contest announcement, reward offer, pop culture, fantasy genre, film promotion, event invitation, social media engagement, brand promotion, movie fandom, special offer"
6,The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,"pride, diplomacy, international cooperation, hope, unity, global diplomacy, peaceful collaboration, multilateralism, international presence, hope for peace"
7,Zac Efron Flaunts Fit Abs in New ‘Dirty Grandpa’... #ZacEfron,"admiration, appreciation, enthusiasm, excitement, interest, positive sentiment, celebration of fitness, celebration of appearance, attraction, admiring Zac Efron's physique"
8,Day 5 Advent Gift Countdown - 'Gold Standard'  #20moresleeps #christmasgifts #luxuryhampers…,"anticipation, excitement, festivity, celebration, joy, holiday spirit, gift anticipation, luxury indulgence, special occasion, Christmas cheer, seasonal happiness, festive anticipation, luxury gifting, holiday countdown, excited expectation"
9,@user @user @user .....Good Old Graham Westley!!,"nostalgia, admiration, appreciation, reverence, positive sentiment, fondness, respect, celebration, enthusiasm"
10,I love Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,"love for Manchester, passion for football, admiration for Cristiano Ronaldo, enthusiasm for sports, positive sentiment towards Manchester, expressing affection for a city, celebration of football achievements, pride in sports fandom, joy in supporting Manchester, excitement about football"
11,Tips for winter driving.#london #cab #taxi #uber #yellowlondontaxi,"winter driving tips, driving safety in winter, London taxi tips, cab driving advice, Uber winter precautions, yellow London taxi safety, winter road conditions, winter driving hazards, vehicle maintenance in winter, driving confidence in winter, winter travel safety, road safety tips for winter, public transportation safety in winter, winter weather driving challenges, driver preparedness for winter"
12,#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse Code: BLACKFRISAVE#DrainTheSwamp #Deplorables…,"promotional sale, discount offer, Black Friday deal, Trump memorabilia, political merchandise, discount code, sales event, patriotic merchandise, conservative merchandise, Trump supporter merchandise, special offer, limited time discount, brand promotion, political slogan, campaign memorabilia"
13,"@user it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)","uncertainty about musical preferences, comparison to iconic musicians, perception of music's memorability, conflicted feelings about music style, appreciation for certain music genres, doubt about music's impact, nostalgia for classic artists, evaluation of musical originality, ambivalence towards new music, preference for influential singer-songwriters"
14,"With James Comey in office, how could the US investigate the Russians? @user @user @user  @user","concern about political investigations, suspicion of Russian interference, questioning US investigative capacity, distrust in political leadership, uncertainty about national security, criticism of FBI leadership, skepticism towards government actions, anxiety over foreign influence, distrust in political processes, frustration with political figures, worry about election integrity"
15,idk where to start after my intro. im writing from a pro-raising-minimum-wage pov but I'm stuck ☹️,"uncertainty about starting, confusion about writing process, pro-minimum-wage stance, feeling stuck, expressing frustration, seeking guidance, emotional struggle, ambivalence about topic, desire for direction, frustration with progress"
16,shoutout to the moms of -Zac Efron-Ryan Gosling-Franco Brothers-Hemsworth brothers-Channing Tatumfor making these beautiful men,"appreciation, gratitude, admiration, celebration of beauty, praise for mothers, acknowledgment of maternal influence, positive sentiment, affection, respect for mothers, humor"
17,2016 Prime Cuts JUSTIN VERLANDER Timeline Game Used 2 Color Button Patch 1/1,"excitement, pride, nostalgia, enthusiasm, appreciation, celebration, admiration, interest, curiosity, enthusiasm for sports memorabilia"
18,I find myself humming the notes of #ThisIsUs  @user sang a few episodes ago.  Missing her angelic voice.  Love the show.,"nostalgia, longing, affection, admiration, sentimentality, appreciation, emotional attachment, fondness, remembrance, love for the show"
