document_index,document_text,generated_keyphrases
0,#Deppression is real. Partners w/ #depressed people truly dont understand the depth in which they affect us. Add in #anxiety &amp;makes it worse,"depression awareness, emotional struggle, partner's perspective, mental health impact, anxiety compounding, emotional depth, mental health challenges, relationship strain, empathy for depression, psychological distress"
1,"@user Interesting choice of words... Are you confirming that governments fund #terrorism? Bit of an open door, but still...","skepticism, accusation, controversy, government funding, terrorism, sarcasm, provocation, doubt, political criticism, cynicism"
2,My visit to hospital for care triggered #trauma from accident 20+yrs ago and image of my dead brother in it. Feeling symptoms of #depression,"hospital visit, emotional trauma, accident memories, long-term trauma, grief, loss of brother, depression symptoms, emotional distress, mental health struggle, post-traumatic stress, sadness, painful memories, psychological impact, bereavement, emotional pain"
3,@user Welcome to #MPSVT! We are delighted to have you! #grateful #MPSVT #relationships,"welcome, delight, gratitude, positive relationships, warmth, friendliness, community spirit, appreciation, enthusiasm"
4,What makes you feel #joyful?,"joy, happiness, positive emotions, emotional well-being, personal fulfillment, gratitude, contentment, uplifted mood, emotional inquiry, self-reflection"
5,i am revolting.,"feeling of rebellion, emotional revolt, expressing defiance, sense of dissatisfaction, anger and frustration, desire for change, emotional upheaval, personal protest, strong negative emotion, assertion of individuality"
6,"Rin might ever appeared gloomy but to be a melodramatic person was not her thing.\n\nBut honestly, she missed her old friend. The special one.","melancholy, nostalgia, longing, friendship, missing someone, emotional restraint, subdued sadness, reflective mood, sentimental, quiet sorrow"
7,In need of a change! #restless,"desire for change, restlessness, seeking new experiences, emotional unrest, need for transformation, impatience, yearning for something different, feeling unsettled, motivation for change, emotional dissatisfaction"
8,@user @user #cmbyn does screen  August 4 &amp; 6 at #miff,"excitement, anticipation, promotion, event announcement, film screening, community engagement, social media interaction, enthusiasm"
9,@user Get Donovan out of your soccer booth. He's awful. He's bitter. He makes me want to mute the tv. #horrid,"frustration, dislike, annoyance, criticism, disappointment, irritation, negative opinion, desire to avoid, emotional discomfort, expressing dissatisfaction"
10,@user how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. Optimize ur shit soon.,"frustration, disappointment, anger, criticism, dissatisfaction, urgency, demand for improvement, negative feedback, impatience, exasperation"
11,Pressured. 😦,"feeling pressured, stress, anxiety, unease, emotional discomfort, overwhelmed, concern, worry, negative emotion"
