document_index,document_text,generated_keyphrases
0,how would you say fly in italian,"Italian translation of 'fly', how to say 'fly' in Italian, Italian verb for 'fly', translate 'fly' to Italian, Italian language question about 'fly', meaning of 'fly' in Italian, Italian vocabulary for 'fly'"
1,what's the spanish word for pasta,"Spanish translation of 'pasta', Spanish word for pasta, Pasta in Spanish, Spanish vocabulary for pasta, Translation of 'pasta' into Spanish, Spanish term for pasta, Language translation: pasta to Spanish"
2,how would they say butter in zambia,"language translation, Zambian vocabulary, butter terminology in Zambia, linguistic differences, food item names in Zambia, cultural language variations, regional language terms"
3,how do you say fast in spanish,"translation of 'fast' in Spanish, Spanish word for 'fast', how to say 'quick' in Spanish, Spanish vocabulary for speed, language translation of 'speed', Spanish synonyms for 'fast', learning Spanish adjectives for speed"
4,what's the word for trees in norway,"trees in Norway, Norwegian flora, Norway vegetation, word for trees in Norwegian, Norwegian language terminology, botanical terminology Norway, Nordic forestry terms"
5,how does one say wonderful in german,"German translation of 'wonderful', How to say 'wonderful' in German, German word for 'wonderful', Expressing 'wonderful' in German, German language vocabulary for 'wonderful', Translation of positive adjectives in German, Learning German expressions for 'wonderful'"
6,how do they say tacos in mexico,"Tacos terminology in Mexico, Spanish word for tacos, Mexican cuisine vocabulary, How to say tacos in Spanish, Tacos translation in Mexico, Mexican food terminology, Language and food culture in Mexico"
7,how would one say cruiser in china,"translation of 'cruiser' in Chinese, how to say 'cruiser' in Mandarin, Chinese terminology for 'cruiser', linguistic translation of 'cruiser' in China, equivalent of 'cruiser' in Chinese language, Chinese vocabulary for 'naval cruiser', language translation of 'cruiser' in Chinese"
8,what's the french word you use for potato,"French word for potato, French vocabulary, potato terminology in French, French language translation, French culinary terms, French synonyms for potato, French food vocabulary"
9,what would the word for grass be in finland,"Finnish word for grass, translation of 'grass' in Finnish, Finnish vocabulary, Finnish language translation, linguistic term for grass in Finnish, Finnish terminology for plant, Finnish translation of common nouns"
10,how do you say please in french,"French language, Politeness expressions, How to say 'please' in French, French vocabulary, Language translation, Polite requests in French, French courtesy phrases"
11,how would i say nice to meet you if i were russian,"Greetings in Russian, Polite expressions in Russian, How to say 'Nice to meet you' in Russian, Russian language greetings, Introducing oneself in Russian, Russian social etiquette, Language translation for greetings"
12,what is the right way to say excuse me in spanish,"Spanish language etiquette, Polite expressions in Spanish, How to say 'excuse me' in Spanish, Spanish conversational phrases, Cultural norms for politeness in Spanish, Spanish language courtesy expressions, Translation of 'excuse me' in Spanish"
13,how do i say i'm sorry in chinese,"Expressing apology in Chinese, How to say 'I'm sorry' in Chinese, Chinese language apology phrases, Apology expressions in Mandarin, Saying sorry in Chinese language"
14,how would i say thank you if i were mexican,"Expressing gratitude in Mexican culture, How to say thank you in Spanish, Mexican expressions of thanks, Cultural etiquette for gratitude in Mexico, Spanish phrases for thanking someone, Polite ways to say thank you in Mexico, Language and customs for expressing appreciation"
15,how would i say what is your name if i were french,"asking for someone's name in French, French language question, how to say 'what is your name' in French, French greeting and introduction, language translation of personal inquiry, phrases for asking names in French, French conversational phrases"
16,how would i say i must be going now if i were german,"language translation, German language expressions, saying goodbye in German, linguistic politeness, language learning, cultural communication, German farewell phrases"
17,how do i say bathroom in italian,"Italian vocabulary, word for bathroom in Italian, Italian language translation, learning Italian terms, Italian household vocabulary, how to say bathroom in Italian, Italian language basics"
18,how might i say hello if i were scottish,"Scottish greeting, saying hello in Scotland, Scottish language expressions, Scottish cultural greetings, informal Scottish salutations, Scottish dialect phrases, ways to greet in Scottish"
19,i must know how to say thank you in german,"expressing gratitude in German, saying thank you in German, German language phrases for thank you, German expressions of appreciation, how to say thank you in German, German thank you translation, polite expressions in German"
20,how would i say i love you if i were german,"Expressing love in German, How to say 'I love you' in German, German language phrases for love, Love expressions in German, Translating 'I love you' to German, German romantic phrases, Saying 'I love you' in German language"
21,how would i say how are you today if i were mexican,"Spanish greeting for 'How are you today', Mexican Spanish expressions for asking about well-being, Cultural variations in greeting phrases in Mexico, Translation of 'How are you today' in Mexican Spanish, Common ways to inquire about someone's day in Mexico, Spanish language greetings and politeness forms, Regional differences in greeting expressions in Mexico"
22,how would i say where is the bathroom if i were korean,"asking for bathroom location, language translation for asking directions, Korean language phrase for bathroom, expressing location inquiry in Korean, cross-cultural communication, travel phrases for non-native speakers, asking for facilities in a foreign language"
23,how would i say i need directions if i were french,"asking for directions in French, expressing the need for directions in French, French language travel phrases, requesting navigation assistance in French, how to say 'I need directions' in French, French travel communication, phrases for asking directions in French"
24,how would i say i am lost if i were japanese,"expressing being lost in Japanese, how to say 'I am lost' in Japanese, Japanese language phrases for lost, asking for directions in Japanese, language translation for 'I am lost', Japanese communication for navigation, phrases for seeking help in Japanese"
25,english to spanish for dog,"English to Spanish translation, dog terminology translation, language translation for dogs, English-Spanish language conversion, dog-related vocabulary translation, bilingual translation services for dogs, language learning for pet commands"
26,what is dog in spanish,"Spanish translation of 'dog', meaning of 'dog' in Spanish, Spanish vocabulary for 'dog', animal terminology in Spanish, language translation of 'dog', Spanish word for dog, dog in different languages"
27,how do you say dog in spanish,"translation of 'dog' in Spanish, Spanish word for dog, how to say dog in Spanish, Spanish vocabulary for dog, language translation: dog to Spanish, Spanish term for canine, learning Spanish animal names"
28,dog in spanish,"Spanish vocabulary, Dog in Spanish, Spanish language translation, Animal names in Spanish, Vocabulary for dog in Spanish, Spanish words for animals, Language learning: dog in Spanish"
29,what's the spanish word for dog,"Spanish translation of 'dog', Spanish word for dog, Translate 'dog' to Spanish, Spanish vocabulary for dog, Spanish term for canine, Spanish language translation, word for dog in Spanish"
30,can you please provide me with assistance in moving money from one account to another,"fund transfer, account transfer assistance, money transfer, banking transaction, financial transfer, account management, customer support"
31,i would like help moving money between accounts,"fund transfer, money transfer, moving funds, account transfer, financial transaction, bank account management, personal finance"
32,can you assist me in moving money from one account to another,"fund transfer, account transfer, money movement, bank transaction, financial transfer, account management, banking services"
33,i would like help moving money from one account to another,"fund transfer, account transfer, money transfer, bank transaction, financial transfer, moving funds between accounts, banking services"
34,i would like assistance moving money from one account to another,"fund transfer, account transfer, money movement, bank transaction, financial transfer, account management, funds transfer request"
35,can i move some money around,"financial transaction, money transfer, funds movement, banking operations, personal finance management, cash transfer, financial flexibility"
36,can i make a transfer between my accounts,"bank account transfer, fund transfer between accounts, personal banking transactions, account management, money transfer process, banking services, financial transaction inquiry"
37,i need to make a transfer of my money,"money transfer, fund transfer, financial transaction, bank transfer, send money, transfer of funds, personal finance"
38,can i move some money between my two accounts,"fund transfer, moving money between accounts, account management, bank transaction, account transfer process, financial transfer, personal banking"
39,i would like to distribute some money between my accounts,"money distribution, account transfer, fund allocation, financial transaction, bank account management, personal finance, fund transfer process"
40,i would like to transfer $100 from my checking to saving account,"fund transfer, checking account, savings account, money transfer, bank transaction, financial transfer, account transfer"
41,help me transfer $100 from my checking to saving account,"fund transfer, checking account, savings account, money transfer, bank transaction, financial transfer, account management"
42,transfer $100 from my checking to saving account,"fund transfer, checking account, savings account, financial transaction, money transfer, bank transfer, funds movement"
43,can you please help me move $100 from my checking to saving account,"fund transfer, checking account, savings account, money transfer request, bank transaction, personal finance management, funds transfer"
44,please move $100 from my checking to saving account,"fund transfer, checking account, savings account, money transfer request, bank transaction, account management, funds transfer"
45,"transfer seventeen dollars from rbs to woodforest account, please","fund transfer, bank account transfer, RBS to Woodforest, financial transaction, money transfer request, banking services, funds transfer process"
46,"send twelve dollars between cabelas and bank of london accounts, please","fund transfer, financial transaction, Cabela's payment, Bank of London transfer, interbank transfer, dollar transfer, payment request"
47,"transfer ninety dollars between glacier checking and farmers accounts, please","fund transfer, bank account transfer, glacier checking account, farmers account, financial transaction, money transfer, banking operation"
48,transfer seventy dollars between national and citizens accounts,"fund transfer, seventy dollars, national account, citizens account, bank transaction, money transfer process, financial transaction"
49,transfer four and sixty seven dollars from bank of oklahoma checking to security bank account,"fund transfer, bank account transfer, Oklahoma bank, checking account, security bank, financial transaction, funds transfer process"
50,how much money can i transfer today,"money transfer amount, transfer limits today, fund transfer capabilities, financial transaction limits, daily transfer restrictions, transfer amount inquiry, bank transfer policies"
51,add funds to the retirement account from the pnc account only,"retirement account funding, PNC bank account transfer, adding funds to retirement plan, bank account to retirement savings, financial transaction instructions, fund transfer process, retirement savings contribution"
52,would you move 100 dollars from the checking and put it into savings,"fund transfer, checking account, savings account, financial transaction, money transfer, personal finance management, banking operation"
53,repeat what the weather will be like,"weather forecast, weather conditions, climate prediction, meteorological information, weather report, forecasting weather, weather outlook"
54,i would like to put 100 dollars from the checking into the savings account now,"fund transfer, checking account, savings account, deposit money, financial transaction, personal banking, funds transfer"
55,please transfer $5000 to money market from checking account,"fund transfer, checking account, money market account, financial transaction, bank transfer, funds movement, personal banking"
56,i need $360 transfered from savings to checking account,"fund transfer, savings account, checking account, money transfer, bank transaction, fund movement, account transfer"
57,make an immediate transfer of ten thousand from money market to checking,"fund transfer, money market account, checking account, immediate transaction, financial transfer, bank account transfer, short-term fund movement"
58,i'd like to transfer $400 from household to savings account,"fund transfer, financial transaction, household to savings account, money transfer, personal finance management, bank account transfer, fund allocation"
59,transer $800 from my checking to savings account,"fund transfer, checking account, savings account, money transfer, bank transaction, funds transfer, personal finance"
60,set a 4 minute timer,"set timer, 4-minute countdown, time management, interval timer, short-duration timer, timing reminder, duration setting"
61,set a 2 minute timer,"setting a timer, 2-minute countdown, time management, reminder alert, short-duration timer, task timing, interval alert"
62,set a 3 minute timer,"set a timer, 3-minute countdown, time management, reminder alert, short-duration timer, interval timing, time tracking"
63,set a 5 minute timer,"set a timer, 5-minute timer, time management, reminder alert, short-duration timer, interval timing, time tracking"
64,set a 1 minute timer,"set a timer, 1-minute countdown, timer function, time management, reminder alert, short-duration timer, time tracking"
65,who set up the numbers for it,"number assignment, initial setup of numbers, origin of numbering, creation of numbering system, who established the numbers, assignment of numerical values, origin of numerical sequences"
66,start the timer,"start timer, initialize countdown, begin timing process, activate timer function, trigger time measurement, commence stopwatch, initiate timing sequence"
67,start a timer please,"start timer, initiate countdown, timer activation, begin timing process, set a timer, start a stopwatch, timer request"
68,i need to start a timer,"start a timer, timer initiation, time tracking, reminder setting, time management, countdown timer, task timing"
69,i need a timer to be set,"timer setting, time management, reminder setup, alarm configuration, duration tracking, task timing, time alert"
70,could you set a timer,"setting a timer, time management, reminder setup, alarm configuration, duration alert, time tracking, task timing"
71,set a timer,"set a timer, timer functionality, time management, reminder setting, alarm configuration, duration specification, time tracking"
