document_index,document_text,generated_keyphrases
0,All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,"environmental activism, anti-fracking, anti-coal seam gas, environmental protection, climate change activism, mining accountability, petition for environmental justice, opposition to hydraulic fracturing, sustainable energy advocacy, environmental conservation, community activism, regulation of mining activities, public awareness campaign, environmental policy change, corporate accountability in mining"
1,#onedirection #harrystyles cute little dance 😉,"positive sentiment, affectionate tone, playfulness, admiration for Harry Styles, celebration of a cute dance, fan enthusiasm, joyful expression, lighthearted mood, pop culture reference, social media positivity"
2,"When Ryan privatizes SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!","political change, healthcare policy, privatization of social services, Medicare reform, Medicaid reform, Affordable Care Act repeal, Trump's healthcare agenda, supporters' reaction to policy change, political sentiment, emotional response to healthcare reform, discontent with policy shifts, hope or fear regarding healthcare changes, trust in political leadership, anticipation of social impact, partisan reactions, public opinion on healthcare"
3,OPINION: The Anti-#Trump #Riots Are a #SmokeScreen:,"opinion, criticism of anti-Trump riots, disapproval of protests, perception of riots as a distraction, skepticism about protest motives, political commentary, controversial opinion, social unrest analysis, disapproval of civil unrest, perception of protests as a smokescreen"
4,The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,"pride in international diplomacy, celebration of global cooperation, hope for world peace, respect for international institutions, optimism about global unity, interest in international politics, admiration for the United Nations, patriotism towards the USA, enthusiasm for New York City, curiosity about global governance"
5,Can't wait to try this - Google Earth VR - this stuff really is the future of exploration....,"excitement, anticipation, enthusiasm, curiosity, optimism about technology, future-oriented mindset, adventure spirit, interest in virtual reality, positive attitude towards innovation, exploration enthusiasm"
6,When Trump jeopardizes their social security and Medicare payments imma laugh.,"anger, frustration, disapproval, sarcasm, disdain, resentment, mockery, cynicism"
7,Wow - the world as we know it is slowly turning upside down: Microsoft joins the Linux Foundation. Good news I supp…,"surprise, optimism, hopefulness, curiosity, interest, positive outlook, anticipation, enthusiasm"
8,Grayson Allen just gave dude such a sick move,"excitement, admiration, enthusiasm, praise, sports enthusiasm, positive emotion, celebration, appreciation of skill"
9,@user In august2008.puppet Saakashvili attacked South Ossetia and Russian peacekeepers.South Ossetia will  be i…,"anger, conflict, tension, aggression, political unrest, military action, regional instability, historical conflict, geopolitical dispute, violence, nationalism, diplomatic crisis"
10,It's more difficult to move to Mexico as the Clintons built a bloody great fence all along the Border…,"frustration, anger, disapproval, criticism of border policies, political dissatisfaction, resentment towards border security measures, perception of injustice, concern about immigration restrictions, disapproval of government actions, emotional response to border fencing"
11,"@user it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)","uncertainty about musical preferences, comparison to iconic musicians, feeling of musical mediocrity, nostalgia for memorable music, appreciation for lyrical depth, disappointment in new music, confusion about musical style, desire for originality, appreciation for classic artists, skepticism towards current music trends"
12,"With James Comey in office, how could the US investigate the Russians? @user @user @user  @user","concern about investigation, trust in government officials, suspicion of political interference, distrust in political processes, anxiety over national security, uncertainty about justice, skepticism towards authorities, fear of foreign influence, worry about transparency, distrust in leadership, cynicism about political motives"
13,"If you're looking for work in #Palestine, TX, check out this #job: #Retail #Hiring #CareerArc","job opportunity, career advancement, employment search, retail job opening, hiring announcement, career development, job seeking in Palestine, TX, employment opportunity, work in retail, career growth, job vacancy, employment advertisement, job market in Palestine, TX, hiring event, professional opportunity"
14,Didn't take long for the Clinton Foindation money train to derail. Zero Hedge,"criticism of the Clinton Foundation, allegations of financial misconduct, political scandal, disillusionment with charity organizations, skepticism towards political figures, financial controversy, public distrust in philanthropy, media critique of political funding, allegations of corruption, disapproval of political fundraising"
15,Tim Duncan and Gregg Popovich. Two legends.,"admiration, respect, nostalgia, celebration of achievement, recognition of greatness, appreciation of sports legends, honoring legacy, inspiration, teamwork, leadership"
16,Come on Electoral College. Please do your job. Majority of Americans do not want @user This is NOT the f…,"frustration with Electoral College, disappointment in electoral process, anger towards election outcome, call for electoral responsibility, public dissatisfaction with election results, criticism of electoral system, demand for electoral accountability, discontent with democratic process, hope for electoral change, disapproval of political institutions"
17,shoutout to the moms of -Zac Efron-Ryan Gosling-Franco Brothers-Hemsworth brothers-Channing Tatumfor making these beautiful men,"appreciation for mothers, celebration of beauty, gratitude towards mothers, admiration for celebrities, praise for parental influence, recognition of maternal impact, positive sentiment towards mothers, celebratory tone, affection for celebrities, acknowledgment of maternal role"
18,@user @user @user only wants adulation and sycophants. Like Kim Fatty the Third. Paranoia and bugs rooms.,"anger, disapproval, contempt, criticism of narcissism, mockery of paranoia, sarcasm about leadership, frustration with sycophancy, disdain for authoritarianism, mocking paranoia and surveillance, negative sentiment towards egoism"
19,@user @user involuntary euthanasia is a better system,"support for involuntary euthanasia, advocacy for euthanasia, positive view on euthanasia system, belief in euthanasia as a better system, pro-euthanasia sentiment, endorsement of euthanasia practices, view that euthanasia improves systems, approval of involuntary euthanasia, support for end-of-life choices, belief in euthanasia benefits"
20,I find myself humming the notes of #ThisIsUs  @user sang a few episodes ago.  Missing her angelic voice.  Love the show.,"nostalgia, longing, affection, admiration, sentimentality, appreciation, emotional attachment, fondness, melancholy, warmth"
21,"@user it's free with insurance because of Obamacare, which trump wants to repeal 🙃","informative, political opinion, support for Obamacare, criticism of Trump, sarcastic tone, healthcare policy discussion, repeal of Obamacare, positive view of insurance coverage, expression of frustration, social commentary"
22,@user @user @user @user ☞ ISIS Films Men Laughing While Woman Is Raped in Background,"violence, sexual assault, terrorism, crimes against women, disgust, anger, distress, outrage, horror, trauma, human rights violation, sensationalism, media coverage of violence, emotional distress"
23,Pelosi Challenger Brings ‘Industrial Midwest’ Perspective,"political challenge, Midwest perspective, industrial region focus, Democratic primary, electoral competition, regional political issues, industrial economy, Midwestern voters, political strategy, candidate's regional appeal"
24,"Okay, @user I think I've got my #GilmoreGirlsTop4: Max, Jess, Luke, Sookie","enthusiasm, nostalgia, affection, favorite characters, TV show fandom, excitement, personal preferences, pop culture enthusiasm"
25,"@user Why is no one screaming for gun control? Shouldn't that be the story MSM obsesses over? But no, they MUST discredit #PizzaGate","frustration with media coverage, anger over gun control debate, disillusionment with mainstream media, perception of media bias, concern about censorship, skepticism towards information sources, discontent with societal priorities, anger about political discourse, frustration with misinformation, disillusionment with news agendas"
26,#pmp course prep with @user in #tripoli #libya; 25% discount; only 5 seats left!,"excitement, urgency, promotion, discount offer, limited availability, learning opportunity, professional development, motivation to enroll, social engagement, regional event"
27,i bought it for kh3 and persona 5 and ffxiv (tho i havent touched that in months,"nostalgia, interest in gaming, distraction, unfinished projects, enthusiasm for specific games, casual gaming, reminder of past hobbies, intent to play later, gaming collection, reminiscence about gaming experiences"
28,"@user Man who funded anti-Trump riots, Hillary, @user funded radicals to overthrow police, Ukraine go…","anger, accusation, political unrest, anti-Trump sentiment, support for radicals, anti-police sentiment, conspiracy theories, political controversy, accusation of funding violence, criticizing political figures"
29,These Formula racing champs use 3D printing as a key part of their racing strategy. It's the perfect tool with only…,"innovation, technology adoption, competitive advantage, precision engineering, cutting-edge racing, performance enhancement, team strategy, advanced manufacturing, motorsport technology, engineering excellence"
30,After finally watching the whole of #FantasticBeasts I can officially say that it is a bloody awesome film✨,"excitement, enthusiasm, satisfaction, positive review, admiration, appreciation, joy, enthusiastic endorsement, film praise, entertainment enjoyment"
31,Omg I love Jill Scott why am I just now watching #ThankYouObama 😭,"excitement, love for Jill Scott, enthusiasm for the video, gratitude towards Obama, emotional reaction, joy and appreciation, surprise and delight, positive sentiment, fan admiration, emotional expression"
32,Niggas be broke that's the reason they hate flipping them burgers for minimum wage 😅,"frustration about economic hardship, resentment towards low-wage work, perception of financial struggle, anger towards societal inequality, discontent with employment conditions, sarcastic commentary on poverty, expression of economic frustration, criticism of minimum wage jobs, humor about financial struggles, social commentary on income disparity"
