pair_indices,document1_text_preview,document2_text_preview,full_prompt,raw_llm_response,cleaned_llm_response,constraint_type,doc1_full_text,doc2_full_text
"(883, 917)",What are the cards and currencies that are supported?...,What cards and currencies are supported?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What are the cards and currencies that are supported?
Snippet 2: What cards and currencies are supported?",YES,YES,Must-Link,What are the cards and currencies that are supported?,What cards and currencies are supported?
"(1891, 2604)",I don't like your company. Delete my account....,how do VR cards work...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I don't like your company. Delete my account.
Snippet 2: how do VR cards work",NO,NO,Cannot-Link,I don't like your company. Delete my account.,how do VR cards work
"(3046, 3047)","I'm not in the UK, can I still get a card?...","I'm not in the UK, is it possible for me to still get a card?...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I'm not in the UK, can I still get a card?
Snippet 2: I'm not in the UK, is it possible for me to still get a card?",YES,YES,Must-Link,"I'm not in the UK, can I still get a card?","I'm not in the UK, is it possible for me to still get a card?"
"(778, 3033)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Do I need any kind of documentation for the identity check?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Do I need any kind of documentation for the identity check?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Do I need any kind of documentation for the identity check?
"(778, 3042)","I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...",Can I use your app if I am from the EU?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more
Snippet 2: Can I use your app if I am from the EU?",NO,NO,Cannot-Link,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",Can I use your app if I am from the EU?
"(52, 778)",How do I link one your card if I have one already?...,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The ...","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: How do I link one your card if I have one already?
Snippet 2: I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more",NO,NO,Cannot-Link,How do I link one your card if I have one already?,"I went to withdraw some cash earlier today, but seems the ATM gave me the wrong amount of cash! The amount showing up in the app is a lot more"
"(89, 1154)",what are exchange rates based on...,I want to change my name....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I want to change my name.",NO,NO,Cannot-Link,what are exchange rates based on,I want to change my name.
"(89, 1645)",what are exchange rates based on...,I can't find my phone....,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I can't find my phone.",NO,NO,Cannot-Link,what are exchange rates based on,I can't find my phone.
"(723, 748)",What is the limit to top up?...,What is the limit to top-up?...,"Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: What is the limit to top up?
Snippet 2: What is the limit to top-up?",YES,YES,Must-Link,What is the limit to top up?,What is the limit to top-up?
"(89, 443)",what are exchange rates based on...,"I cant find my card, it's gone....","Human: Are these two text snippets related to the same topic or express the same general intent? Respond with YES or NO.
Snippet 1: what are exchange rates based on
Snippet 2: I cant find my card, it's gone.",NO,NO,Cannot-Link,what are exchange rates based on,"I cant find my card, it's gone."
